Using cpu device
Logging to train_data/AgriControl/ppo/deterministic/logs/effortless-sea-71/PPO_0
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 370       |
|    ep_rew_mean     | 109.31038 |
| time/              |           |
|    fps             | 1139      |
|    iterations      | 1         |
|    time_elapsed    | 14        |
|    total_timesteps | 16384     |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 509         |
|    ep_rew_mean          | 168.58723   |
| time/                   |             |
|    fps                  | 1035        |
|    iterations           | 2           |
|    time_elapsed         | 31          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.008391622 |
|    clip_fraction        | 0.0829      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.54       |
|    explained_variance   | -0.063      |
|    learning_rate        | 2e-05       |
|    loss                 | -0.455      |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.0103     |
|    std                  | 1.01        |
|    value_loss           | 0.156       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 625         |
|    ep_rew_mean          | 225.42598   |
| time/                   |             |
|    fps                  | 1091        |
|    iterations           | 3           |
|    time_elapsed         | 45          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.010812953 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.58       |
|    explained_variance   | 0.612       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.455      |
|    n_updates            | 16          |
|    policy_gradient_loss | -0.0174     |
|    std                  | 1.01        |
|    value_loss           | 0.0534      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 735         |
|    ep_rew_mean          | 292.8527    |
| time/                   |             |
|    fps                  | 1094        |
|    iterations           | 4           |
|    time_elapsed         | 59          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.013225547 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.61       |
|    explained_variance   | 0.717       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.466      |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0232     |
|    std                  | 1.02        |
|    value_loss           | 0.0459      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 900         |
|    ep_rew_mean          | 395.35187   |
| time/                   |             |
|    fps                  | 1093        |
|    iterations           | 5           |
|    time_elapsed         | 74          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.011287902 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.65       |
|    explained_variance   | 0.755       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.459      |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.0192     |
|    std                  | 1.03        |
|    value_loss           | 0.0418      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.01e+03     |
|    ep_rew_mean          | 465.65775    |
| time/                   |              |
|    fps                  | 1119         |
|    iterations           | 6            |
|    time_elapsed         | 87           |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0100003425 |
|    clip_fraction        | 0.127        |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.67        |
|    explained_variance   | 0.751        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.462       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0175      |
|    std                  | 1.03         |
|    value_loss           | 0.0285       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.11e+03    |
|    ep_rew_mean          | 542.2337    |
| time/                   |             |
|    fps                  | 1132        |
|    iterations           | 7           |
|    time_elapsed         | 101         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.011376334 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.7        |
|    explained_variance   | 0.85        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.503      |
|    n_updates            | 48          |
|    policy_gradient_loss | -0.0192     |
|    std                  | 1.03        |
|    value_loss           | 0.0197      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.19e+03    |
|    ep_rew_mean          | 598.0377    |
| time/                   |             |
|    fps                  | 1139        |
|    iterations           | 8           |
|    time_elapsed         | 114         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.010144172 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.72       |
|    explained_variance   | 0.894       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.474      |
|    n_updates            | 56          |
|    policy_gradient_loss | -0.0168     |
|    std                  | 1.04        |
|    value_loss           | 0.0175      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.29e+03    |
|    ep_rew_mean          | 663.2881    |
| time/                   |             |
|    fps                  | 1145        |
|    iterations           | 9           |
|    time_elapsed         | 128         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.009907693 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.74       |
|    explained_variance   | 0.917       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.488      |
|    n_updates            | 64          |
|    policy_gradient_loss | -0.0165     |
|    std                  | 1.04        |
|    value_loss           | 0.0139      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.44e+03    |
|    ep_rew_mean          | 768.8274    |
| time/                   |             |
|    fps                  | 1141        |
|    iterations           | 10          |
|    time_elapsed         | 143         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.010374948 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.76       |
|    explained_variance   | 0.943       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.492      |
|    n_updates            | 72          |
|    policy_gradient_loss | -0.0173     |
|    std                  | 1.04        |
|    value_loss           | 0.013       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.66e+03    |
|    ep_rew_mean          | 924.6983    |
| time/                   |             |
|    fps                  | 1140        |
|    iterations           | 11          |
|    time_elapsed         | 158         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.009392487 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.78       |
|    explained_variance   | 0.927       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.496      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0134     |
|    std                  | 1.05        |
|    value_loss           | 0.0142      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.8e+03     |
|    ep_rew_mean          | 1029.0472   |
| time/                   |             |
|    fps                  | 1142        |
|    iterations           | 12          |
|    time_elapsed         | 172         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.009599662 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.8        |
|    explained_variance   | 0.947       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.474      |
|    n_updates            | 88          |
|    policy_gradient_loss | -0.0146     |
|    std                  | 1.05        |
|    value_loss           | 0.0113      |
-----------------------------------------
Eval num_timesteps=200000, episode_reward=3832.40 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | 10.7        |
|    co2_cost             | 0.00402     |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 3.82        |
|    heat_cost            | 2.09        |
|    mean_reward          | 3.83e+03    |
|    revenue              | 12.8        |
|    rh_violation         | 1.06e+03    |
|    temp_violation       | 568         |
|    variable_costs       | 2.1         |
| time/                   |             |
|    total_timesteps      | 200000      |
| train/                  |             |
|    approx_kl            | 0.009700587 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.82       |
|    explained_variance   | 0.958       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.479      |
|    n_updates            | 96          |
|    policy_gradient_loss | -0.0137     |
|    std                  | 1.05        |
|    value_loss           | 0.0121      |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 1.84e+03  |
|    ep_rew_mean     | 1054.9219 |
| time/              |           |
|    fps             | 1098      |
|    iterations      | 13        |
|    time_elapsed    | 193       |
|    total_timesteps | 212992    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.04e+03    |
|    ep_rew_mean          | 1203.4507   |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 14          |
|    time_elapsed         | 207         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.008416249 |
|    clip_fraction        | 0.0893      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.84       |
|    explained_variance   | 0.941       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.477      |
|    n_updates            | 104         |
|    policy_gradient_loss | -0.0108     |
|    std                  | 1.06        |
|    value_loss           | 0.0128      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.19e+03    |
|    ep_rew_mean          | 1309.7097   |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 15          |
|    time_elapsed         | 222         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.008555772 |
|    clip_fraction        | 0.0999      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.86       |
|    explained_variance   | 0.949       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.493      |
|    n_updates            | 112         |
|    policy_gradient_loss | -0.0114     |
|    std                  | 1.06        |
|    value_loss           | 0.0116      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.29e+03    |
|    ep_rew_mean          | 1380.1481   |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 16          |
|    time_elapsed         | 237         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.008559525 |
|    clip_fraction        | 0.0952      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.88       |
|    explained_variance   | 0.983       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.513      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0117     |
|    std                  | 1.06        |
|    value_loss           | 0.00518     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.53e+03    |
|    ep_rew_mean          | 1555.5322   |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 17          |
|    time_elapsed         | 251         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.008911611 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.89       |
|    explained_variance   | 0.976       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.508      |
|    n_updates            | 128         |
|    policy_gradient_loss | -0.0131     |
|    std                  | 1.07        |
|    value_loss           | 0.00602     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.62e+03    |
|    ep_rew_mean          | 1623.1499   |
| time/                   |             |
|    fps                  | 1113        |
|    iterations           | 18          |
|    time_elapsed         | 264         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.008680932 |
|    clip_fraction        | 0.0974      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.91       |
|    explained_variance   | 0.975       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.501      |
|    n_updates            | 136         |
|    policy_gradient_loss | -0.0116     |
|    std                  | 1.07        |
|    value_loss           | 0.0073      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.75e+03    |
|    ep_rew_mean          | 1726.244    |
| time/                   |             |
|    fps                  | 1120        |
|    iterations           | 19          |
|    time_elapsed         | 277         |
