Using cpu device
Logging to train_data/AgriControl/ppo/deterministic/logs/elated-flower-74/PPO_0
------------------------------
| time/              |       |
|    fps             | 2236  |
|    iterations      | 1     |
|    time_elapsed    | 7     |
|    total_timesteps | 16384 |
------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 1610        |
|    iterations           | 2           |
|    time_elapsed         | 20          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.008207169 |
|    clip_fraction        | 0.0872      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.54       |
|    explained_variance   | -0.0435     |
|    learning_rate        | 2e-05       |
|    loss                 | -0.451      |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.0116     |
|    std                  | 1.01        |
|    value_loss           | 0.217       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 1782.4005   |
| time/                   |             |
|    fps                  | 1503        |
|    iterations           | 3           |
|    time_elapsed         | 32          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.011860117 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.57       |
|    explained_variance   | 0.456       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.448      |
|    n_updates            | 16          |
|    policy_gradient_loss | -0.0196     |
|    std                  | 1.01        |
|    value_loss           | 0.0527      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 1782.4005   |
| time/                   |             |
|    fps                  | 1420        |
|    iterations           | 4           |
|    time_elapsed         | 46          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.012029938 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.6        |
|    explained_variance   | 0.679       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.417      |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0192     |
|    std                  | 1.02        |
|    value_loss           | 0.0782      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 1782.4005   |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 5           |
|    time_elapsed         | 59          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.014384432 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.64       |
|    explained_variance   | 0.555       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.477      |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.0262     |
|    std                  | 1.02        |
|    value_loss           | 0.0391      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.76e+03   |
