2025-08-22 16:33:22,623 INFO    MainThread:17207 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_setup.py:_flush():70] Configure stats pid to 17207
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_setup.py:_flush():70] Loading settings from /Users/fady/.config/wandb/settings
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_setup.py:_flush():70] Loading settings from /Users/fady/Desktop/test/2/GreenLight-Gym2/wandb/settings
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/fady/Desktop/test/2/GreenLight-Gym2/wandb/run-20250822_163322-orxil6ii/logs/debug.log
2025-08-22 16:33:22,624 INFO    MainThread:17207 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/fady/Desktop/test/2/GreenLight-Gym2/wandb/run-20250822_163322-orxil6ii/logs/debug-internal.log
2025-08-22 16:33:22,628 INFO    MainThread:17207 [wandb_init.py:init():852] calling init triggers
2025-08-22 16:33:22,628 INFO    MainThread:17207 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'env_seed': 666, 'model_seed': 666, 'policy': 'MlpPolicy', 'learning_rate': 0.001, 'buffer_size': 300000, 'learning_starts': 30000, 'batch_size': 128, 'tau': 0.02, 'gamma': 0.98, 'ent_coef': 'auto', 'train_freq': 20, 'gradient_steps': 20, 'action_noise': {'normalactionnoise': {'sigma': 0.1}}, 'replay_buffer_class': None, 'replay_buffer_kwargs': None, 'optimize_memory_usage': True, 'target_update_interval': 1, 'use_sde': False, 'sde_sample_freq': -1, 'use_sde_at_warmup': False, 'stats_window_size': 100, 'policy_kwargs': {'net_arch': {'pi': [128, 128], 'qf': [256, 256]}, 'optimizer_class': 'adam', 'optimizer_kwargs': {'amsgrad': True}, 'activation_fn': 'relu', 'log_std_init': 'np.log(0.5)'}, '_wandb': {}}
2025-08-22 16:33:22,628 INFO    MainThread:17207 [wandb_init.py:init():893] starting backend
2025-08-22 16:33:22,628 INFO    MainThread:17207 [wandb_init.py:init():897] sending inform_init request
2025-08-22 16:33:22,660 INFO    MainThread:17207 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-08-22 16:33:22,660 INFO    MainThread:17207 [wandb_init.py:init():907] backend started and connected
2025-08-22 16:33:22,663 INFO    MainThread:17207 [wandb_init.py:init():1005] updated telemetry
2025-08-22 16:33:22,678 INFO    MainThread:17207 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-08-22 16:33:23,696 INFO    MainThread:17207 [wandb_init.py:init():1104] starting run threads in backend
2025-08-22 16:33:23,772 INFO    MainThread:17207 [wandb_run.py:_console_start():2573] atexit reg
2025-08-22 16:33:23,772 INFO    MainThread:17207 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-08-22 16:33:23,772 INFO    MainThread:17207 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-08-22 16:33:23,772 INFO    MainThread:17207 [wandb_run.py:_redirect():2513] Redirects installed.
2025-08-22 16:33:23,774 INFO    MainThread:17207 [wandb_init.py:init():1150] run started, returning control to user process
2025-08-22 16:33:32,287 INFO    MsgRouterThr:17207 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
